Question,A,B,C,D,Correct
"Khi thuyết phục người mua tăng giá, nhà môi giới dựa vào các yếu tố:",Ưu điểm của bất động sản,Tín hiệu tốt trong tăng trưởng của nền kinh tế,Nói thật những khuyết điểm bất động sản,Tất cả đều sai,A
"Khi thuyết phục người bán giảm giá, nhà môi giới dựa vào các yếu tố:",Ưu điểm của bất động sản,Nền kinh tế tăng trưởng chậm,Khuyết điểm bất động sản,Đáp án B và C,A
"Những tiện ích của BĐS so với thời gian có thể liệt kê trong ""kỹ thuật nhân"" khi đàm phán về giá cả BĐS:",Tỉ giá quy đổi ra vàng tại thời điểm mua,"Các điểm đắc địa của BĐS, giá trị sử dụng tăng thêm do sử dụng vật tư cao cấp, giá trị tăng thêm của BĐS","Môi trường sinh sống sạch sẽ, khu vực an ninh, giao thông tiện lợi, gần bệnh viện trường học",Cả B và C,A
Nội dung nào là hoạt động của sàn giao dịch bất động sản?,Kiểm tra tính pháp lý và điều kiện đưa vào kinh doanh đối với các bất động sản đưa vào giao dịch thông qua sàn giao dịch bất động sản,"Thực hiện dịch vụ môi giới bất động sản, hỗ trợ các bên trong việc đàm phán, thương thảo giao dịch bất động sản","Thực hiện dịch vụ, hỗ trợ các bên lập và ký kết hợp đồng giao dịch bất động sản","Cả đáp án A, B và C đều đúng",A
"Trong giao dịch bất động sản, việc xác định tình trạng hôn nhân theo quy định của pháp luật Việt Nam là như thế nào?",Bắt buộc,Không bắt buộc,Chỉ yêu cầu khi cần thiết,Chỉ cần kê khai,A
"Nếu bạn là môi giới và một trong các khách hàng của bạn từ chối ký hợp đồng vì thấy giá trị căn hộ quá cao so với mức ngân sách, bạn sẽ:",Thuyết phục khách hàng tăng ngân sách để mua căn hộ.,Khuyên khách hàng đợi giảm giá rồi mua.,Chấp nhận yêu cầu của khách và tìm căn hộ khác.,Nói rằng đây là cơ hội duy nhất và không có căn hộ nào tốt hơn.,A
Sàn giao dịch bất động sản phải đáp ứng điều kiện gì?,"Phải có giấy phép hoạt động của sàn giao dịch bất động sản và đáp ứng các yêu cầu về cơ sở vật chất, kỹ thuật.",Phải có trụ sở tại các thành phố lớn.,Phải có chứng chỉ hành nghề cho tất cả nhân viên trong sàn.,Phải có ít nhất 3 nhân viên môi giới và 1 giám đốc sàn.,A
"Theo Luật Kinh doanh bất động sản 2023, mức hoa hồng môi giới bất động sản được xác định dựa trên cơ sở nào?",Do cơ quan quản lý nhà nước về kinh doanh bất động sản quy định.,Do hiệp hội bất động sản tại địa phương quy định theo từng quý.,"Do các bên thỏa thuận và được ghi trong hợp đồng, không phụ thuộc vào giá của giao dịch.",Cố định ở mức 2% trên tổng giá trị giao dịch.,A
"Khách hàng yêu cầu bạn tìm một căn hộ giá rẻ ở trung tâm thành phố, nhưng ngân sách của họ không đủ để mua bất động sản đó. Bạn sẽ làm gì? Trùng với câu 647",Giới thiệu căn hộ cao cấp hơn để khách hàng có thể vay nhiều tiền hơn.,Thuyết phục khách hàng chọn khu vực ngoại thành để phù hợp với ngân sách.,Từ chối yêu cầu của khách hàng vì ngân sách không đủ.,Tìm căn hộ ở trung tâm thành phố và yêu cầu khách hàng vay thêm tiền.,A
Chứng chỉ hành nghề môi giới bất động sản có thời hạn sử dụng là bao lâu theo quy định hiện hành?,02 năm.,03 năm.,05 năm.,Vô thời hạn.,A
Bất động sản được phân loại là bất động sản dịch vụ bao gồm:,"Văn phòng, cửa hàng, siêu thị, kho, bãi.","Khách sạn, nhà nghỉ hay nhà trọ, nhà liền kề, nhà xưởng","Khách sạn, nhà nghỉ, văn phòng, cửa hàng, siêu thị","Văn phòng, cửa hàng, siêu thị, nhà liền kề hay nhà vườn",A
Yếu tố ảnh hưởng đến cầu bất động sản là?,Tăng trưởng về dân số và các nhu cầu phát triển,Thu nhập của dân cư,Kế hoạch phát triển kinh tế xã hội của chính phủ,"Cả đáp án A, B và C đều đúng",A
"Trong môi giới bất động sản dự án, tiếp nhận sản phẩm là bước đầu tiên để nhân viên kinh doanh có thể?",Am hiểu về khách hàng,Am hiểu về sản phẩm và am hiểu về chủ đầu tư,Am hiểu về đối thủ cạnh tranh,Am hiểu về thị trường,A
Thời điểm xác định bên môi giới được hưởng hoa hồng thường là khi nào (nếu không có thỏa thuận khác)?,Khi tìm được khách hàng tiềm năng.,Khi khách hàng ký hợp đồng đặt cọc.,Khi giao dịch giữa bên mua và bên bán thành công (ký hợp đồng mua bán/chuyển nhượng).,Ngay sau khi ký hợp đồng dịch vụ môi giới.,A
Hoạt động về môi giới bất động sản thuộc loại hình kinh doanh nào?,Đầu tư bất động sản,Kinh doanh bất động sản,Kinh doanh dịch vụ bất động sản,Quản lý bất động sản,A
Chủ đầu tư khi bán BĐS nộp những loại thuế gì sau đây?,Thuế thu nhập doanh nghiệp.,Thuế chuyển nhượng BĐS.,Thuế VAT,Lệ phí trước bạ.,A
"Là một nhà môi giới bất động sản chuyên nghiệp, trong cách giao tiếp và ứng xử với đồng nghiệp cần phải:","Phải có thái độ lịch sự, tôn trọng, trung thực, thân thiện, hợp tác và tạo môi trường cạnh tranh lành mạnh.",Nhà môi giới phải cộng tác với nhà môi giới khác cũng phải đảm bảo nguyên tắc vì quyền lợi tốt nhất cho khách hàng của mình. Sự hợp tác đó phải vô tư và không vì động cơ chia sẻ quyền lợi.,"Tôn trọng quyền lựa chọn nhà môi giới của khách hàng, trong trường hợp khách hàng không muốn tiếp tục làm việc với mình và có nhu cầu chuyển sang làm việc với nhà môi giới khác thì không được có thái độ bài trừ, bất hợp tác hay những hành vi không tốt với nhà môi giới mà khách hàng lựa chọn, ngoại trừ việc yêu cầu khách hàng tuân thủ việc thanh lý Hợp đồng đã ký.","Đáp án A, B và C",A
"Là một nhà môi giới bất động sản chuyên nghiệp, trong giao tiếp và ứng xử với đối thủ cạnh tranh cần phải:",Chào hàng theo kiểu phá giá.,Thực hiện các hành vi không lành mạnh để ngăn cản đối thủ ký kết hợp đồng dịch vụ.,"Tung tin, nói xấu, vu cáo đối thủ cạnh tranh.",Tất cả đều sai.,A
"Trong quá trình giới thiệu bất động sản cho khách hàng, bạn phát hiện một số thông tin quan trọng có sai sót (như diện tích thực tế nhỏ hơn quảng cáo). Bạn sẽ làm gì?",Thông báo ngay cho khách hàng về sự khác biệt và giải thích rõ ràng.,Từ chối giao dịch để tránh gây rắc rối.,Chỉ thông báo cho khách hàng nếu họ hỏi.,Giấu thông tin để không làm khách hàng thất vọng.,A
"Là một nhà môi giới bất động sản chuyên nghiệp, các anh chị có được phép:",Tiết lộ thông tin về khách hàng và bất động sản khi chưa được sự đồng ý của khách hàng và những thông tin nằm ngoài phạm vi công việc đã thỏa thuận với khách hàng trong hợp đồng.,Đưa những thông tin về khách hàng và bất động sản của nhà môi giới khác đang làm đại diện giao dịch mà chưa được sự đồng ý.,Cả A và B đều không được.,Cả A và B đều đúng.,A
Khách hàng của bạn liên hệ với bên bán sau khi được bạn giới thiệu và giao dịch trực tiếp để tránh trả phí môi giới. Bạn sẽ làm gì?,Bỏ qua vì không thể làm gì.,Cắt đứt quan hệ với cả hai bên.,Đăng thông tin khách hàng lên mạng để cảnh báo.,Yêu cầu bên mua/bên bán thanh toán phí môi giới như đã thỏa thuận.,A
"Để đảm bảo thể hiện năng lực chuyên môn khi hành nghề, các nhà môi giới bất động sản phải:",Nhà môi giới phải thực hiện đúng quy trình nghiệp vụ khi làm việc.,"Nhà môi giới phải đảm bảo nghiệp vụ và năng lực chuyên môn. Khi tiến hành giao dịch phải có sự cẩn trọng cao nhất và làm việc với tinh thần trung thực, tận tâm, trách nhiệm với khách hàng.",Nhà môi giới phải cập nhật những thay đổi về tình hình thị trường và các quy định của pháp luật có liên quan đến nghiệp vụ.,"Cả A, B và C",A
Khoản tiền mà khách hàng trả cho môi giới bất kể kết quả giao dịch có thành công hay không được gọi là gì?,Hoa hồng môi giới.,Thù lao môi giới.,Phí quản lý.,Tiền thưởng thêm.,A
"Là một nhà môi giới bất động sản chuyên nghiệp, trang phục và phong cách của anh chị cần phải:","Trang phục phải lịch sự, nên đeo thẻ (có đầy đủ thông tin cá nhân và văn phòng làm việc) khi làm việc và giao tiếp với khách hàng.","Khi giao tiếp nhà môi giới phải giới thiệu về mình và đơn vị mình làm việc; Ngôn ngữ giao tiếp phải rõ ràng, trong sáng, ngắn gọn, tập trung vào nội dung công việc; Không nói tục, không nói tiếng lóng, không mất lịch sự với khách hàng và đồng nghiệp.",Cả A và B đều đúng,Tất cả đều sai.,A
"Một khách hàng yêu cầu bạn tìm bất động sản giá rẻ ở khu vực tiềm năng, nhưng bạn biết khu vực đó sẽ không phát triển trong vài năm tới. Bạn sẽ làm gì?",Từ chối yêu cầu của khách hàng vì khu vực đó không phát triển.,Chỉ bán bất động sản giá rẻ mà không quan tâm đến sự phát triển của khu vực.,Tư vấn cho khách hàng về khả năng phát triển khu vực và giúp họ chọn bất động sản phù hợp hơn.,Tìm bất động sản giá rẻ và không thông báo về tình hình khu vực.,A
"Trước khi bàn giao nhả ở hình thành trong tương lai cho người mua, doanh nghiệp trong nước được huy động tối đa bao nhiêu phần trăm giá trị hợp đồng?",50%,70%,80%,95%,A
Thị trường bất động sản là kênh đầu tư kém hấp dẫn đối với các nhà đầu tư nước ngoài khi:,Môi trường pháp lý để phát triển thị trường bất động sản chưa đầy đủ,Nền kinh tế chậm phát triển.,Tình hình chính trị không ổn định,"Cả A, B, C đều đúng",A
Các yếu tố làm tăng cầu mua nhà ở là:,"Giá của các yếu tố đầu vào (giá đất, vật liệu, nhân công) tăng cao",Lãi suất cho vay mua nhà thấp,Sự thay đổi việc làm và tăng thu nhập,Cả B và C đều đúng,A
Nếu xảy ra tranh chấp hợp đồng đặt cọc giữa người mua và người bán người môi giới nên làm gì?,Ép bên vi phạm phải nhượng bộ và bồi thường,Giải quyết bằng hòa giải và hoàn lại tiền,"Áp dụng theo những cam kết trong hợp đồng đặt cọc và bồi thường theo thỏa thuận hoặc đưa sự việc ra Pháp luật, đơn vị có thẩm quyền giải quyết nếu hai bên không tự giải quyết được",Tất cả các câu trên đều đúng,A
Cung trong thị trường bất động sản thường thay đổi... so với cầu biến động bất động sản:,Nhanh hơn,Chậm hơn,Giống nhau,Rất lớn,A
"Trong các phương pháp định giá BĐS, Phương pháp nào được áp dụng phổ biến nhất:",Phương pháp thu nhập,Phương pháp so sánh,Phương pháp chi phí,Cả 3 phương pháp trên,A
Tổ chức cá nhân tham gia sàn giao dịch bất động sản có nghĩa vụ nào sau đây?,"Bảo quản nhà, công trình xây dựng đã bán trong thời gian chưa bàn giao cho bên mua",Trả phí dịch vụ cho doanh nghiệp kinh doanh dịch vụ sàn giao dịch bất động sản,"Thực hiện các thủ tục mua bán nhà, công trình xây dựng theo quy định của pháp luật","Yêu cầu bên mua nhận nhà, công trình xây dựng theo thời hạn đã thỏa thuận trong hợp đồng",A
Các thông tin cần tìm hiểu về bất động sản:,"Quyền của người bán thông qua các giấy tờ hợp pháp; quy định phân vùng, quy hoạch sử dụng đất hiện tại và trong tương lai.",Quyền của người mua,Những hạn chế về việc chuyển nhượng quyền sử dụng đất và bất động sản.,"Đáp án A, B và C",A
Tổ chức kinh doanh dịch vụ môi giới bất động sản có nghĩa vụ gì đối với nhân viên môi giới của mình?,Không có nghĩa vụ gì ngoài việc trả lương.,"Tổ chức đào tạo, bồi dưỡng nâng cao kiến thức hành nghề môi giới bất động sản cho nhân viên hằng năm.",Thu hồi chứng chỉ hành nghề của nhân viên khi họ nghỉ việc.,Ép buộc nhân viên phải ký doanh số tối thiểu.,A
"Nội dung, phạm vi tư vấn, quyền và nghĩa vụ của các bên, phí dịch vụ tư vấn bất động sản được quy định như thế nào?",Do các bên thỏa thuận trong hợp đồng,Do bên bán quy định,Do bên mua quy định,Do pháp luật quy định,A
Nội dung môi giới bất động sản bao gồm những vấn đề gì?,"Tìm kiếm đối tác đáp ứng các điều kiện của khách hàng để tham gia đàm phán, ký hợp đồng","Đại diện theo ủy quyền để thực hiện các công việc liên quan đến các thủ tục mua bán, chuyển nhượng, cho thuê, cho thuê lại, cho thuê mua bất động sản","Cung cấp thông tin, hỗ trợ cho các bên trong việc đàm phán, ký hợp đồng mua bán, chuyển nhượng, cho thuê, cho thuê lại, cho thuê mua bất động sản","Cả đáp án A, B và C đều đúng",A
"Ở nước ta, sàn giao dịch bất động sản chịu sự quản lý của cơ quan nhà nước nào?",Sở Tài nguyên Môi trường,Công ty kinh doanh bất động sản.,Sở Xây dựng,Bộ Xây dựng,A
"Theo Luật 2023, việc thanh toán trong giao dịch bất động sản giữa các doanh nghiệp kinh doanh bất động sản phải thực hiện qua hình thức nào?",Tiền mặt trực tiếp.,Qua tổ chức tín dụng (chuyển khoản).,Bằng tài sản khác có giá trị tương đương.,"Tùy các bên thỏa thuận, không bắt buộc qua ngân hàng.",A
Dưới đây đâu là đặc điểm của thị trường bất động sản?,Có sự khác biệt giữa hàng hóa và địa điểm giao dịch,"Thị trường BĐS là thị trường mang tính khu vực, vùng, miền",Cung về BĐS chậm co dãn khi giá thay đổi,"Đáp án A, B và C",A
Đâu là đặc điểm đặc thù quan trọng của thị trường bất động sản của Việt Nam?,Thị trường BĐS là thị trường mang tính quốc tế và khu vực,Không có sự khác biệt giữa hàng hóa và địa điểm giao dịch,Hoạt động của thị trường BĐS phụ thuộc vao sự kiểm soát của Nhà nước,Cung về BĐS thay đổi chậm hơn so với giá BĐS,A
Nội dung kinh doanh dịch vụ quản lý bất động sản gồm:,Cung cấp các dịch vụ bảo đảm duy trì hoạt động bình thường của bất động sản.,"Thực hiện bảo trì, sửa chữa bất động sản","Quản lý, giám sát việc khai thác, sử dụng bất động sản của khách hàng theo đúng công năng, thiết kế và hợp đồng",Cả 3 đáp án trên đều đúng,A
Việc nhà môi giới từ chối thực hiện một giao dịch khi biết nguồn tiền của khách hàng có dấu hiệu từ hoạt động tội phạm thể hiện tuân thủ nguyên tắc gì?,Phòng chống rửa tiền và đạo đức nghề nghiệp.,Bảo mật thông tin khách hàng.,Tôn trọng quyền tự do kinh doanh.,Tiết kiệm chi phí cho công ty.,A
"Bà B tự nhận là “cộng tác viên giới thiệu”... đăng thông tin trên mạng xã hội, công khai giá bán, trực tiếp dẫn khách đi xem và đàm phán giá. Khi giao dịch thành công, tiền hoa hồng chuyển qua tài khoản người thân để “tránh rắc rối pháp lý”. Nhận định đúng nhất là:",Hoạt động giới thiệu cá nhân hợp pháp,Quảng cáo sản phẩm bất động sản,Không xử lý được vì không nhận tiền trực tiếp,"Hoạt động môi giới BĐS trá hình, xác định theo bản chất hành vi",A
"Bạn phát hiện một bất động sản bạn đang giới thiệu có giá trị thấp hơn so với mức thị trường, nhưng khách hàng vẫn quyết định mua. Bạn sẽ làm gì?","Không báo cho khách hàng, vì họ đã quyết định mua.",Khuyên khách hàng bỏ qua sự chênh lệch giá trị và tiến hành giao dịch.,Thông báo ngay cho khách hàng về sự khác biệt và giải thích rõ lý do.,Tiến hành giao dịch mà không thông báo về vấn đề này.,A
"Một khách hàng yêu cầu bạn tìm một bất động sản phù hợp để đầu tư sinh lời, nhưng họ chỉ muốn các dự án có tiềm năng tăng giá nhanh trong 6 tháng tới. Bạn sẽ làm gì?",Giới thiệu những dự án đã được chứng minh là an toàn và ổn định.,Đưa ra một số dự án mà bạn biết sẽ không sinh lời trong thời gian ngắn để khách hàng có nhiều sự lựa chọn.,Tìm kiếm dự án ở các khu vực đang phát triển và có các yếu tố tiềm năng sinh lời trong thời gian ngắn.,Khuyên khách hàng mua bất động sản mà không quan tâm đến tiềm năng tăng giá trong ngắn hạn.,A
Nội dung nào sau đây là bắt buộc phải có trong hợp đồng dịch vụ môi giới?,Đối tượng và nội dung dịch vụ; mức thù lao/hoa hồng; thời hạn thực hiện.,Cam kết chắc chắn sẽ bán được nhà trong 1 tháng.,Thông tin về tất cả các dự án khác của công ty.,Danh sách đối thủ cạnh tranh của khách hàng.,A
Đâu là nghĩa vụ của cá nhân kinh doanh dịch vụ môi giới?,"Tham gia đào tạo, bồi dưỡng nâng cao kiến thức hành nghề môi giới bất động sản hàng năm",Thực hiện dịch vụ môi giới bất động sản.,"Hưởng thù lao, hoa hồng môi giới theo thỏa thuận trong hợp đồng đã ký với khách hàng.",Tất cả đều sai,A
Một nhà môi giới chuyên nghiệp cần làm gì để duy trì uy tín lâu dài?,Chỉ quan tâm đến hoa hồng cao nhất.,Luôn đặt lợi ích hợp pháp của khách hàng lên trên và cung cấp giá trị thực sự.,Thay đổi số điện thoại sau mỗi thương vụ lớn.,Chỉ làm việc với những khách hàng giàu có.,A
"Bất động sản không đủ điều kiện để giao dịch, cá nhân hành nghề môi giới bất động sản có thể: Trùng với câu 648",Từ chối môi giới và thông báo cho các bên về tình trạng bất động sản.,Đề xuất thay đổi các điều khoản trong hợp đồng.,Tiến hành giao dịch nếu khách hàng yêu cầu.,Đề nghị bên bán giảm giá bất động sản.,A
"Nguyên tắc ""Trung thực"" đòi hỏi nhà môi giới phải làm gì khi biết bất động sản nằm trong khu vực quy hoạch sắp giải tỏa?",Giấu thông tin để dễ bán.,Chỉ nói khi khách hàng hỏi trực tiếp.,Thông báo đầy đủ và trung thực về tình trạng quy hoạch cho khách hàng.,Khuyên khách hàng mua nhanh trước khi quy hoạch công bố chính thức.,A
"Một khách hàng yêu cầu bạn tìm bất động sản để bán lại nhanh, nhưng thị trường đang chững lại. Bạn sẽ làm gì?",Khuyên khách hàng đầu tư lâu dài thay vì ngắn hạn.,Giấu tình hình thị trường để khách hàng tự quyết định.,Tìm bất động sản phù hợp nhưng thông báo rõ ràng về tình hình thị trường.,Từ chối giao dịch vì khó khăn,A
"Nội dung nào dưới đây là vi phạm pháp luật về thu, quản lý, sử dụng phí, lệ phí trong kinh doanh bất động sản?",Quản lý và sử dụng dịch vụ môi giới bất động sản theo thỏa thuận của các bên.,"Thu phí dịch vụ bất động sản không có hóa đơn, chứng từ hợp lệ hoặc thu quá mức quy định của pháp luật.",Sử dụng phí đăng ký bất động sản đúng mục đích và công khai.,Thu phí dịch vụ bất động sản đúng mức được quy định của pháp luật và hợp đồng đã ký.,A
Nhà môi giới có nên tư vấn cho khách hàng về các thủ tục thuế và phí khi sang tên bất động sản không?,"Không, vì đó là việc của cơ quan thuế.","Có, đó là một phần của dịch vụ hỗ trợ khách hàng và thể hiện tính chuyên nghiệp.",Chỉ tư vấn nếu khách hàng trả thêm phí tư vấn pháp lý.,Chỉ tư vấn cách để lách thuế cho khách hàng.,A
Nguyên tắc của hoạt động môi giới bất động sản là:,Tuân thủ pháp luật và đạo đức nghề nghiệp,Minh bạch thông tin và hài hòa lợi ích giữa các bên,Nâng cao kiến thức chuyên môn và kinh nghiệm thực tế,Tất cả đều đúng,A
Chức năng của người môi giới là:,Người điều tiết giá mua bán cho thị trường.,Người trung gian và tư vấn cho người mua và người bán.,"Cả A, B đều đúng.","Cả A, B đều sai.",A
"Nghĩa vụ nào sau đây là bắt buộc đối với tổ chức, cá nhân môi giới khi cung cấp thông tin bất động sản?",Chỉ cung cấp thông tin tốt để thúc đẩy bán hàng.,"Cung cấp hồ sơ, thông tin về bất động sản và chịu trách nhiệm về hồ sơ, thông tin do mình cung cấp.",Không cần chịu trách nhiệm nếu thông tin do chủ đầu tư cung cấp sai.,Chỉ cung cấp thông tin khi khách hàng đã đặt cọc.,A
Bên môi giới được hưởng thù lao môi giới:,500.000 đồng cho mỗi hợp đồng,Khi có giao dịch thành công,Không phụ thuộc vào kết quả giao dịch,Không có thù lao môi giới vì chưa có qui định,A
Nhà môi giới cần phải:,Luôn đảm bảo tính pháp luật.,Xác lập quyền lợi của các bên môi giới,Không xác lập quyền lợi cá nhân khi chưa có sự thống nhất của các bên tham gia,"Cả A, B và C",A
"Trường hợp dự án bất động sản, công trình xây dựng đã thế chấp vay tiền ngân hàng thương mại, người môi giới bất động sản có nên tư vấn cho khách hàng vấn đề này không?","Giữ bí mật, không cung cấp thông tin để bán được hàng.",Tư vấn đầy đủ thông tin để khách hàng nắm rõ trước khi ra quyết định giao dịch.,Tư vấn không cần đầy đủ để khách hàng tự tìm hiểu.,Không tư vấn vấn đề đó.,A
"Khách hàng yêu cầu bạn tìm bất động sản có giá trị thấp để tránh thuế, bạn sẽ:",Giới thiệu các bất động sản giá thấp theo yêu cầu.,Khuyên khách hàng tuân thủ pháp luật về nghĩa vụ thuế.,Hỗ trợ khách hàng tìm cách trốn thuế.,Giấu thông tin để khách hàng tự tìm hiểu.,A
"Trong quy trình môi giới, người môi giới BĐS cần thực hiện các nhiệm vụ sau:","Chứng thực, sao lưu các loại giấy tờ, tìm kiếm khách hàng","Khảo sát thực địa, hồ sơ pháp lý, thẩm định giá, quảng bá, giới thiệu BĐS","Đàm phán điều khoản, lập hợp đồng, thu phí môi giới",Cả 3 câu trên đều đúng,A
"Các bước trong tiếp cận khách hàng mua, thuê BĐS gồm:","Tìm khách hàng tiềm năng, liên lạc và thỏa thuận hợp đồng","Tiếp cận khách hàng, giới thiệu sản phẩm, xử lý thắc mắc và kết thúc chào bán","Tiếp cận khách hàng, giới thiệu sản phẩm",Tất cả các bước trên,A
"Để giới thiệu, chào bán BĐS thành công cần dựa trên các yếu tố:","Liên lạc trước, giao tiếp lịch sự, nắm được nhu cầu khách hàng","Giao tiếp lịch sự, am hiểu thị trường BĐS, nắm được nhu cầu khách hàng","Giao tiếp lịch sự, am hiểu thị trường BĐS, tìm được sản phẩm đúng nhu cầu khách hàng","Có người giới thiệu, tìm được khách hàng tiềm năng, giao tiếp lịch sự",A
Công tác chuẩn bị tiếp xúc khách hàng đóng vai trò như thế nào trong quy trình môi giới,Tiền đề để tiếp xúc đạt hiệu quả,Dẫn dắt và chủ động trong giao tiếp đàm phán,Phòng ngừa các rủi ro trong giao dịch,"Cả A, B và C",A
"Trong giao dịch mua bán bất động sản, phí môi giới do ai chi trả?",Bên mua chi trả,Bên bán chi trả.,Do các bên thỏa thuận trong hợp đồng,Tất cả các đáp án trên đều sai,A
Những biểu hiện nào sau đây cho phép xác định đối tượng khách hàng của bạn là “khách hàng kỹ tính”:,"Né tránh, sợ bị gạt, không dám quyết định một mình","Có vẻ không đồng ý, hơi nghi ngờ, hay so sánh với sản phẩm khác của đối thủ","Rất nhiều kinh nghiệm và thời gian, thường nghi ngờ bạn đang lợi dụng họ","Phân tích kỹ mọi thông tin, quan tâm tới từng chi tiết nhỏ",A
"Khi khách hàng thắc mắc về sản phẩm bất động sản, bạn sẽ:",Tranh luận lại với khách hàng,Nhận thấy khách hàng không quan tâm đến việc mua sản phẩm,Cả A và B đúng,Cả A và B sai,A
Trường hợp nào dưới đây người môi giới bất động sản được hưởng hoa hồng môi giới?,Khi giao dịch bất động sản thành công theo hợp đồng môi giới.,"Khi giới thiệu thông tin bất động sản cho khách hàng, dù không có giao dịch.",Khi đưa ra ý kiến tư vấn ban đầu.,Khi có bất kỳ hoạt động nào liên quan đến bất động sản,A
Lệ phí trước bạ khi chuyển nhượng bất động sản là bao nhiêu (trong trường hợp giá hợp đồng thấp hơn giá Nhà nước quy định)?,"0,5% giá trị theo giá nhà nước quy định.",5% giá trị hợp đồng.,"2,5% giá trị hợp đồng.",3% giá trị hợp đồng.,A
Giai đoạn tiếp xúc của quá trình đàm phán gồm:,Tạo không khí tiếp xúc,Tìm hiểu đối tác; tổ chức đội ngũ đàm phán; lập mục tiêu đàm phán,Tạo không khí tiếp xúc; tìm hiểu nhu cầu mục tiêu của đối tác; xác lập kế hoạch đàm phán,"Cả A, B và C",A
Phương pháp tiếp thị phải truyền tải được nội dung đến khách hàng là:,Tính độc đáo nổi trội của hàng hóa,Điểm khác biệt nổi bật so với hàng hóa cùng loại,Kích thích và lưu lại ký ức hàng hóa,"Cả A, B và C",A
"Giúp đẩy mạnh được việc tiêu thụ, tăng doanh số nhanh chóng, mạnh mẽ nhưng chỉ có tác dụng ngắn hạn, gọi là:","Tuyên truyền, tài trợ.",Khuyến mãi.,Chào hàng cá nhân.,Quảng cáo.,A
Nội dung nào sau đây không phải là nội dung môi giới bất động sản:,"Tìm kiếm đối tác đáp ứng các điều kiện của khách hàng để tham gia đàm phán, ký kết hợp đồng.",Đại diện theo ủy quyền để thực hiện các công việc đàm phán kí kết hợp đồng,Thu thập các tài liệu để tiến hành xác định giá bất động sản,Cung cấp thông tin hỗ trợ cho các bên trong việc mua bán bất động sản.,A
"Khi tiếp nhận một sản phẩm dự án, việc đầu tiên môi giới bất động sản cần làm là gì?",Tìm khách hàng tiềm năng cho dự án,Tìm hiểu và phân tích sản phẩm,Quảng cáo bán hàng,Tất cả đều sai.,A
Phân loại thị trường BĐS theo trình tự tham gia thị trường có những phân đoạn nào dưới đây:,"Thị trường chuyển nhượng quyền sử dụng đất, loại thị trường này còn gọi là thị trường đất đai",Thị trường xây dựng các công trình BĐS để bán và cho thuê.,Thị trường bán hoặc cho thuê lại BĐS.,"Cả A, B và C",A
Phân loại cầu bất động sản là nhằm:,Gửi thư trực tiếp tới khách hàng hiệu quả hơn,Đáp ứng nhu cầu của khách hàng tốt hơn,Bố trí trình độ nhân viên môi giới cho phù hợp,Tất cả sai,A
"Hoạt động dịch vụ cung cấp thông tin, số liệu dự báo về thị trường bất động sản được gọi là:",Môi giới bất động sản,Tư vấn bất động sản,Quảng cáo bất động sản,Quản lý bất động sản,A
Nội dung hoạt động của sàn giao dịch bất động sản không bao gồm họat động nào sau đây:,Môi giới bất động sản,Công chứng hợp đồng bất động sản,Tư vấn bất động sản,Quản lý bất động sản,A
Điều kiện để cá nhân được cấp chứng chỉ hành nghề môi giới bất động sản?,"Không phải là cán bộ, công chức, có trình độ đại học trở lên","Kinh nghiệm 03 năm, có trình độ tốt nghiệp trung học phổ thông trở lên.","Đã qua sát hạch về kiến thức môi giới bất động sản, có năng lực hành vi dân sự, Không đang bị truy cứu trách nhiệm hình sư","Cả A, B và C",A
Các yếu tố nào sau đây không phải là yếu tố pháp lý liên quan đến bất động sản:,Tình trạng pháp lý của bất động sản,Các quy định về xây dựng và kiến trúc gắn với bất động sản,Vị trí bất động sản,Tình trạng tranh chấp bất động sản,A
Vai trò của nhà nước trong việc quản lý thị trường bất động sản được thể hiện qua các phương diện nào sau đây:,Tạo môi trường pháp lý cho thị trường bất động sản,"Quy hoạch xây dựng, quy hoạch sử dụng đất, thực hiện đăng ký quền sở hữu tài sản (quyền sử dụng đất)",Thực hiện chính sách vĩ mô nhằm thúc đẩy sự hình thành và phát triển của thị trường bất động sản,"Cả A, B và C",A
Phân tích tài chính dự án đầu tư xây dựng BĐS dựa vào các chỉ tiêu sau:,Ước tính toàn bộ chi phí dự án; Dự kiến phương án hợp tác kinh doanh;,Ước tính nguồn vốn vay; Thiết lập mô hình phân tích dựa trên những giả định cơ bản về dự án;,"Phân tích dòng tiền cho toàn bộ dòng đời của dự án bao gồm chi phí đầu tư, nguồn vốn đầu tư, doanh thu, chi phí hoạt động, vốn vay, lợi nhuận, các chỉ số tài chính, phân tích độ nhạy với các biến thiên về suất đầu tư và giá thuê dự kiến;","Cả A, B và C",A
Các loại hợp đồng trong kinh doanh bất động sản bao gồm:,"Hợp đồng mua bán, thuê mua căn hộ chung cư;","Hợp đồng mua bán, thuê mua căn hộ du lịch, căn hộ văn phòng kết hợp lưu trú quy định","Hợp đồng mua bán, thuê mua nhà ở riêng lẻ;","Cả A, B và C",A
Dự án đầu tư xây dựng khu đô thị hỗn hợp là dự án bao gồm:,Công trình xây dựng mới;,Công trình cải tạo chỉnh trang;,"Công trình tái thiết, bảo tồn và tôn tạo;","Cả A, B và C",A
